array_out,n_features,n_passthrough,peak_memory,time
default,100000,1,851.7578125,3.733493987
default,100000,1,851.765625,3.562316572
default,100000,1,851.70703125,3.703972584
default,100000,2,851.75390625,3.633499201
default,100000,2,851.75390625,3.712679031
default,100000,2,851.765625,3.674359705
default,100000,3,851.75390625,3.65451086
default,100000,3,851.8125,3.644633706
default,100000,3,851.6875,3.804546732
default,300000,1,851.73046875,4.017950362
default,300000,1,851.828125,3.894369109
default,300000,1,851.63671875,3.971872403
default,300000,2,851.7109375,3.880386835
default,300000,2,851.75390625,3.801768414
default,300000,2,851.76953125,3.930843566
default,300000,3,851.83203125,3.847659136
default,300000,3,851.6328125,3.972386391
default,300000,3,851.90234375,3.830533879
default,500000,1,851.66015625,3.43376995
default,500000,1,851.6796875,3.637803966
default,500000,1,851.68359375,3.581698649
default,500000,2,851.65234375,3.488473742
default,500000,2,851.78125,3.52405127
default,500000,2,851.65234375,3.562597143
default,500000,3,851.71875,3.553383288
default,500000,3,851.77734375,3.621688776
default,500000,3,851.65234375,3.57028211
pandas,100000,1,1315.6796875,15.587168862
pandas,100000,1,1391.51953125,16.11967745
pandas,100000,1,1391.38671875,15.487103401
pandas,100000,2,1472.68359375,29.031370881
pandas,100000,2,1473.19140625,28.873659311
pandas,100000,2,1396.7890625,28.253811204
pandas,100000,3,1415.18359375,42.055185012
pandas,100000,3,1491.59765625,41.635975088
pandas,100000,3,1491.296875,41.721416571
pandas,300000,1,1843.15625,37.175801955
pandas,300000,1,1843.28515625,37.942439042
pandas,300000,1,1843.1953125,37.029822191
pandas,300000,2,1890.0625,73.972516849
pandas,300000,2,1889.94140625,76.52862471
pandas,300000,2,1887.765625,75.515874334
pandas,300000,3,1950.765625,113.088622816
pandas,300000,3,1952.4921875,112.042838131
pandas,300000,3,1950.15234375,111.476854121
pandas,500000,1,2236.484375,60.630120847
pandas,500000,1,2237.0859375,58.434808259
pandas,500000,1,2236.4375,60.013631331
pandas,500000,2,2256.140625,118.909124965
pandas,500000,2,2259.328125,120.064193689
pandas,500000,2,2256.3828125,120.234072576
pandas,500000,3,2274.51953125,177.414891109
pandas,500000,3,2274.5,179.863194276
pandas,500000,3,2270.47265625,178.968642495
xarray,100000,1,1485.84375,5.046659755
xarray,100000,1,1486.1484375,5.140387681
xarray,100000,1,1485.9453125,5.083908649
xarray,100000,2,1493.765625,6.066379804
xarray,100000,2,1493.828125,6.105812918
xarray,100000,2,1494.1953125,6.167767857
xarray,100000,3,1493.61328125,7.109446042
xarray,100000,3,1493.75,6.982460809
xarray,100000,3,1493.734375,7.343983397
xarray,300000,1,1531.68359375,5.415014375
xarray,300000,1,1531.734375,5.338948108
xarray,300000,1,1531.48828125,5.437550106
xarray,300000,2,1531.796875,6.388253803
xarray,300000,2,1531.86328125,6.488902646
xarray,300000,2,1531.875,6.526659156
xarray,300000,3,1531.6484375,7.454684888
xarray,300000,3,1531.6640625,7.229798319
xarray,300000,3,1531.4921875,7.44612423
xarray,500000,1,1568.7265625,5.188200988
