max_features,array_out,peak_memory,time
10000,default,112.671875,2.245819808
10000,default,112.70703125,2.289515192
10000,default,112.796875,2.227966951
10000,pandas,1086.62890625,3.885985374
10000,pandas,1085.05859375,4.007782013
10000,pandas,1085.64453125,3.910468497
10000,xarray,271.9296875,2.802025989
10000,xarray,271.80078125,2.70513629
10000,xarray,272.01953125,2.752183383
10000,pydata/sparse,222.63671875,2.448426678
10000,pydata/sparse,222.6484375,2.420700997
10000,pydata/sparse,222.6796875,2.50234945
10000,pandas/pydata/sparse,326.43359375,5.25458174
10000,pandas/pydata/sparse,326.42578125,5.451078665
10000,pandas/pydata/sparse,326.25390625,5.448133751
50000,default,124.0625,2.443447282
50000,default,123.8671875,2.441334875
50000,default,123.953125,2.529027537
50000,pandas,4624.34375,9.393907467
50000,pandas,4623.64453125,9.529054755
50000,pandas,4624.1328125,9.567381724
50000,xarray,297.05859375,2.907440837
50000,xarray,296.92578125,2.987758724
50000,xarray,297.09765625,2.954958372
50000,pydata/sparse,243.671875,2.755531168
50000,pydata/sparse,244.1484375,2.669824076
50000,pydata/sparse,244.0859375,2.792539798
50000,pandas/pydata/sparse,350.2890625,6.242281787
50000,pandas/pydata/sparse,350.33984375,6.366560688
50000,pandas/pydata/sparse,350.484375,6.23887184
100000,default,128.60546875,2.646041874
100000,default,128.484375,2.61787079
100000,default,128.6875,2.562276276
100000,pandas,9033.55859375,16.039477533
100000,pandas,9034.640625,16.233789836
100000,pandas,9034.73046875,16.041115702
100000,xarray,326.20703125,3.213175681
100000,xarray,326.43359375,3.116702275
100000,xarray,326.6328125,3.109081463
100000,pydata/sparse,250.2734375,2.886808971
100000,pydata/sparse,250.453125,2.860512541
100000,pydata/sparse,249.54296875,2.917869682
100000,pandas/pydata/sparse,359.37109375,6.887472548
100000,pandas/pydata/sparse,358.91015625,7.073085132
100000,pandas/pydata/sparse,359.171875,7.124244964
130107,default,131.79296875,2.612912611
130107,default,131.74609375,2.678269706
130107,default,131.89453125,2.64204882
130107,pandas,11690.91015625,20.557459781
130107,pandas,11691.50390625,20.853636946
130107,pandas,11686.625,20.643662083
130107,xarray,356.04296875,3.240184311
130107,xarray,356.25,3.23172765
130107,xarray,356.125,3.30432417
130107,pydata/sparse,253.81640625,2.859984675
130107,pydata/sparse,253.3203125,2.976520303
130107,pydata/sparse,253.38671875,2.876289872
130107,pandas/pydata/sparse,362.48828125,7.645430202
130107,pandas/pydata/sparse,362.41015625,7.487758955
130107,pandas/pydata/sparse,362.42578125,7.509568034
